Trimestre;Tipo de producto;Corredor;Empresa;Tipo de servicio;Ingresos por venta de billetes (€);Plazas Ofertadas (Núm);Plazas.km Ofertadas (Plazas.km);Tren.km (Tren.km);Viajeros (Núm);Viajeros.km (Viajeros.km)
2016T1;Cercanías;Total;Total;OSP;;;5836879371;16638744;100892888;1924136032
2016T1;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;;185703252;587646;355281;135603638
2016T1;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;;1229535141;3060141;1826917;852359177
2016T1;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;;362652012;1009358;538725;247875607
2016T1;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;;444641331;1318513;785860;333002869
2016T1;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;;299258736;824318;563933;215498752
2016T1;LD AV;Resto;Total;Comercial;;;584462368;1095464;647074;410404457
2016T1;LD Convencional;Total;Total;Comercial;;;1830425455;6876833;2572312;1053771582
2016T1;MD AV;Total;Total;OSP;;;431185884;1435739;1752984;206580964
2016T1;MD Convencional;Total;Total;OSP;;;2092715124;8584269;5443411;505175108
2016T2;Cercanías;Total;Total;OSP;;;5824819424;16609696;106825480;2035255069
2016T2;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;;199019072;617014;399042;153321580
2016T2;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;;1301425368;3187669;2084953;992845133
2016T2;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;;373118751;1024184;631520;288773728
2016T2;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;;459974750;1361793;904058;383411478
2016T2;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;;300801910;829193;620891;237688484
2016T2;LD AV;Resto;Total;Comercial;;;651703834;1124362;767141;494861247
2016T2;LD Convencional;Total;Total;Comercial;;;1827536507;6889341;2820442;1161494429
2016T2;MD AV;Total;Total;OSP;;;436762812;1459397;1940205;231356947
2016T2;MD Convencional;Total;Total;OSP;;;2101381908;8583607;6094877;557824451
2016T3;Cercanías;Total;Total;OSP;;;5567867412;16473429;92803359;1774859692
2016T3;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;;241856696;723656;452660;181806324
2016T3;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;;1147127129;2736989;1821447;867827351
2016T3;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;;384029235;1055895;648362;307139165
2016T3;LD AV;Madrid-Sevilla;Renfe Viajeros S.A.U.;Comercial;;;392958171;1202304;716966;303686591
2016T3;LD AV;Madrid-Valencia;Renfe Viajeros S.A.U.;Comercial;;;258510638;715796;540773;206996836
2016T3;LD AV;Resto;Total;Comercial;;;789796732;1304875;928412;627913587
2016T3;LD Convencional;Total;Total;Comercial;;;1991497121;7290176;3277997;1412274606
2016T3;MD AV;Total;Total;OSP;;;424656691;1461563;1695420;204409862
2016T3;MD Convencional;Total;Total;OSP;;;2132510330;8731586;6153479;617530204
2016T4;Cercanías;Total;Total;OSP;;;5761905089;16827005;108388154;2064432081
2016T4;LD AV;Madrid-Alicante;Renfe Viajeros S.A.U.;Comercial;;;197354708;587340;373379;141908499
2016T4;LD AV;Madrid-Barcelona;Renfe Viajeros S.A.U.;Comercial;;;1298889661;3121429;2019026;946808747
2016T4;LD AV;Madrid-Málaga/Granada;Renfe Viajeros S.A.U.;Comercial;;;373095153;1036833;574854;264413562
